GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit5demo,company,Employee,0,45,0,4,0,11,0,5,0,3
junit5demo,company,Company,0,64,0,6,0,21,0,10,0,7
